a̱o,departamento,provincia,municipio,nivel,vuelta,coalicion,partido_lider,partido,siglas,votos
1962,DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,"1,714"
1962,DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,"2,929"
1962,DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"152,404"
1962,DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,"4,833"
1962,DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"35,376"
1962,DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,NA
1962,DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,"1,772"
1962,DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,423
1962,DISTRITO NACIONAL,DISTRITO NACIONAL,DISTRITO NACIONAL,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,"3,023"
