,PARTIDO,,,,PARTIDO,,,,PARTIDO,,PARTIDO,,PARTIDO,,PARTIDO,,,
,ALIANZA,,,,NACIONALISTA,,PARTIDO,,REVOLUCIONARIO,,REVOLUCIONARIO,,UNION,,VANGUARDIA,,,
,SOCIAL,,PARTIDO,,REVOCIONARIO,,REVOLUCIONARIO,,DOMINICANO,,SOCIAL,,CIVICA,,REVOLUCIONARIA,,TOTALES,
,DEMOCRATA,,NACIONAL,,DEMOCRATA,,DOMINICANO,,AUTENTICO,,CRISTIANO,,NACIONAL,,DOMINICANA,,CANDIDATURAS,
,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS
DISTRITO NACIONAL,"1,714","1,772",,423,"2,929","3,023","152,404","139,557",,"1,327","4,833","5,996","35,376","33,764",,"2,174","197,256","188,036"
DEPARTAMENTO DE BARAHONA,"1,142","1,342",131,321,483,495,"36,867","36,288",226,658,"1,228","1,222","11,628","11,643",652,918,"52,411","52,887"
PROVINCIA DE BAHORUCO,154,347,89,107,180,178,"8,077","7,958",144,133,35,36,"3,857","3,837",149,158,"12,685","12,754"
NEYBA,146,339,89,107,122,120,"5,251","5,132",86,75,23,24,"2,937","2,953",149,158,"8,803","8,908"
TAMAYO,8,8,,,58,58,"2,826","2,826",58,58,12,12,884,884,,,"3,846","3,846"
PROVINCIA DE BARANONA,877,883,37,210,240,237,"19,923","19,598",82,424,"1,145","1,157","4,837","4,852",379,591,"27,520","27,952"
BARAHONA,537,561,37,38,100,95,"11,627","11,505",,230,899,902,"2,551","2,579",379,403,"16,130","16,313"
CABRAL,208,190,,131,102,102,"4,417","4,341",,107,183,183,529,528,,97,"5,439","5,679"
ENRRIQUILLO,132,132,,41,38,40,"3,879","3,752",82,87,63,72,"1,757","1,745",,91,"5,951","5,960"
PROVINCIA DE INDEPENDENCIA,59,63,3,4,55,80,"6,533","6,438",0,69,29,29,"2,452","2,413",56,56,"9,187","9,152"
DUVERGE,55,60,2,2,51,74,"3,825","3,749",,43,13,13,"1,104","1,065",47,40,"5,097","5,046"
JIMANI,3,2,1,2,1,3,"1,056","1,037",,15,,,488,488,9,16,"1,558","1,563"
LA DESCUBIERTA,1,1,,,3,3,"1,652","1,652",,11,16,16,860,860,,,"2,532","2,543"
PROVINCIA DE PEDERNALES,52,49,2,0,8,0,"2,334","2,294",0,32,19,0,536,541,68,113,"3,019","3,029"
OVIEDO,5,6,,,,,958,932,,15,1,,214,212,,22,"1,178","1,187"
PEDERNALES,47,43,2,,8,,"1,376","1,362",,17,18,,322,329,68,91,"1,841","1,842"
DEPARTAMENTO DE LA VEGA,"2,151","2,358",359,614,699,707,"133,881","131,233",0,0,"31,088","31,289","114,985","115,526","1,971","3,924","285,134","285,651"
PROVINCIA DUARTE,587,587,163,163,91,91,"18,874","18,869",0,0,"4,628","4,627","32,403","32,409",800,800,"57,546","57,546"
CASTILLO,19,19,20,20,9,9,"2,872","2,871",,,"1,171","1,170","4,249","4,249",101,101,"8,441","8,439"
PIMENTEL,18,18,,,6,6,"2,218","2,218",,,851,851,"2,267","2,267",,,"5,360","5,360"
SAN FRANCISCO DE MACORIS,537,537,132,132,67,67,"9,868","9,864",,,"2,354","2,354","22,447","22,453",537,537,"35,942","35,944"
VILLA RIVA,13,13,11,11,9,9,"3,916","3,916",,,252,252,"3,440","3,440",162,162,"7,803","7,803"
PROVINCIA ESPAILLAT,108,123,0,83,109,109,"13,373","12,301",0,0,"3,767","3,882","26,826","26,845",0,653,"44,183","43,996"
