,,,,,PARTIDO,,,PARTIDO,,PARTIDO,
,PARTIDO,AGRUPACION,PARTIDO,PARTIDO,NACIONALISTA,,PARTIDO,REVOLUCIONARIO,UNION,VANGUARDIA,
,ACCION,POLITICA,DEMOCRATA,LIBERAL,REVOLUCIONARIO,PARTIDO,REVOLUCIONARIO,SOCIAL,CIVICA,REVOLUCIONARIA,
PROVINCIAS Y MUNICIPIOS,REVOLUCIONARIA,14 DE JUNIO,CRISTIANO,EVOLUCIONISTA,DEMOCRATICO,REFORMISTA,DOMINICANO,CRISTIANO,NACIONAL,DOMINICANA,   TOTALES
 DISTRITO NACIONAL,                          829     ,"                       4,829     ","                       3,640     ",                          886     ,                          740     ,"                      91,128     ","                    147,087     ","                      10,313     ","                       1,016     ","                       1,788     ","                    262,256     "
 PROVINCIA LA ALTAGRACIA,                            91     ,                            -       ,                            46     ,                          180     ,                          101     ,"                      16,972     ","                       7,937     ",                          464     ,                          509     ,                          339     ,"                      26,639     "
 HIGUEY,                            84     ,                            -       ,                            33     ,                          156     ,                            87     ,"                      14,971     ","                       6,901     ",                          419     ,                          202     ,                          308     ,"                      23,161     "
 SAN RAFAEL DEL YUMA,                              7     ,                            -       ,                            13     ,                            24     ,                            14     ,"                       2,001     ","                       1,036     ",                            45     ,                          307     ,                            31     ,"                       3,478     "
 PROVINCIA DE AZUA,                          736     ,                            -       ,                          113     ,                          138     ,                          102     ,"                      22,736     ","                       7,516     ",                          203     ,                          113     ,                          288     ,"                      31,945     "
 AZUA,                          664     ,                            -       ,                          106     ,                            93     ,                            89     ,"                      16,075     ","                       5,975     ",                          186     ,                            99     ,                          225     ,"                      23,512     "
 PADRE LAS CASAS,                            72     ,                            -       ,                              7     ,                            45     ,                            13     ,"                       6,661     ","                       1,541     ",                            17     ,                            14     ,                            63     ,"                       8,433     "
 PROVINCIA BAHORUCO,"                       1,155     ",                            -       ,                            14     ,                          102     ,                            76     ,"                      12,453     ","                       6,779     ",                          193     ,                          111     ,                          180     ,"                      21,063     "
 NEIBA,"                       1,144     ",                            -       ,                            10     ,                            73     ,                            62     ,"                       9,174     ","                       4,267     ",                          177     ,                          104     ,                          135     ,"                      15,146     "
 TAMAYO,                            11     ,                            -       ,                              4     ,                            29     ,                            14     ,"                       3,279     ","                       2,512     ",                            16     ,                              7     ,                            45     ,"                       5,917     "
 PROVINCIA DE BARAHONA,                            54     ,                            -       ,                            47     ,                          216     ,                          127     ,"                      15,980     ","                      18,520     ",                          928     ,                          163     ,                          382     ,"                      36,417     "
 BARAHONA,                            29     ,                            -       ,                            39     ,                          141     ,                            68     ,"                       8,260     ","                      12,209     ",                          875     ,                          134     ,                          256     ,"                      22,011     "
 CABRAL,                            15     ,                            -       ,                              8     ,                            38     ,                            42     ,"                       4,199     ","                       3,060     ",                            53     ,                            16     ,                            84     ,"                       7,515     "
 ENRIQUILLO,                            10     ,                            -       ,                            -       ,                            37     ,                            17     ,"                       3,521     ","                       3,251     ",                            -       ,                            13     ,                            42     ,"                       6,891     "
 PROVINCIA DAJABON,                              2     ,                            -       ,                            10     ,                            63     ,                            32     ,"                      12,674     ","                       3,286     ",                          132     ,                            69     ,                          184     ,"                      16,452     "
 DAJABON,                              2     ,                            -       ,                              1     ,                            18     ,                              3     ,"                       5,194     ","                       1,293     ",                            78     ,                            55     ,                            96     ,"                       6,740     "
  LOMA DE CABRERA,                            -       ,                            -       ,                              3     ,                            29     ,                            11     ,"                       5,510     ","                       1,567     ",                            19     ,                            14     ,                            59     ,"                       7,212     "
 RESTAURACION ,                            -       ,                            -       ,                              6     ,                            16     ,                            18     ,"                       1,970     ",                          426     ,                            35     ,                            -       ,                            29     ,"                       2,500     "
 PROVINCIA  DUARTE,                            87     ,                            -       ,                          152     ,                          262     ,                          122     ,"                      42,049     ","                      17,006     ","                       2,465     ","                       3,108     ",                          641     ,"                      65,892     "
 SAN FRANCISCO DE MACORIS,                            58     ,                            -       ,                          103     ,                          169     ,                            80     ,"                      26,430     ","                      10,135     ","                       2,153     ","                       2,533     ",                          300     ,"                      41,961     "
 CASTILLO,                              8     ,                            -       ,                              9     ,                            21     ,                              9     ,"                       6,699     ","                       1,810     ",                            23     ,                          200     ,                          203     ,"                       8,982     "
  PIMENTEL,                              7     ,                            -       ,                            13     ,                            28     ,                            12     ,"                       3,326     ","                       1,703     ",                          238     ,                          174     ,                            46     ,"                       5,547     "
  VILLA RIVA,                            14     ,                            -       ,                            27     ,                            44     ,                            21     ,"                       5,594     ","                       3,358     ",                            51     ,                          201     ,                            92     ,"                       9,402     "
 PROVINCIA ESPAILLAT,                            88     ,                            -       ,                          165     ,                          262     ,                          136     ,"                      37,615     ","                       9,753     ","                       1,278     ","                       1,721     ",                          492     ,"                      51,510     "
 MOCA,                            81     ,                            -       ,                          161     ,                          223     ,                          115     ,"                      30,807     ","                       7,632     ","                       1,240     ","                       1,683     ",                          430     ,"                      42,372     "
 GASPAR HERNANDEZ,                              7     ,                            -       ,                              4     ,                            39     ,                            21     ,"                       6,808     ","                       2,121     ",                            38     ,                            38     ,                            62     ,"                       9,138     "
